address_id,change_id,primary_address_id,address_lifecycle_stage,address_provider,address_manager,addressable_object_id,address_class,parcel_id
2017476,2012039,,Current,LINZ,LINZ,2530634,Road,7741310
2017477,2012040,,Current,LINZ,LINZ,2530635,Road,7741309
1128259,997927,,Current,LINZ,LINZ,1707138,Road,4900784
886387,786673,,Current,LINZ,LINZ,1497321,Road,4667182
886393,786679,,Current,LINZ,LINZ,1464794,Road,4629896
1106781,979598,,Current,LINZ,LINZ,1568377,Road,4746423
1480768,1288987,,Current,LINZ,LINZ,711586,Road,3796329
440507,391093,,Current,LINZ,LINZ,946432,Road,4054662
722122,644196,,Current,LINZ,LINZ,2315255,Road,7100155
171547,161209,,Current,LINZ,LINZ,314621,Road,3351948
1169118,1032006,,Current,LINZ,LINZ,1976320,Road,5202330
440459,391046,,Current,LINZ,LINZ,935028,Road,4041960
440744,391303,,Current,LINZ,LINZ,935268,Road,4042231
1072325,949465,,Current,LINZ,LINZ,1520038,Road,4692757
1090886,965863,,Current,LINZ,LINZ,1663389,Road,4852142
1487475,1295000,,Current,LINZ,LINZ,1971347,Road,5196504
1154681,1019854,,Current,LINZ,LINZ,1948813,Road,5171102
396955,353037,,Current,LINZ,LINZ,880943,Road,3982705
919000,815323,,Current,LINZ,LINZ,1660301,Road,4848708
775490,692473,,Current,LINZ,LINZ,1129874,Road,4255581
1183164,1043722,,Current,LINZ,LINZ,1755256,Road,4954775
1194405,1053294,,Current,LINZ,LINZ,1587259,Road,4767413
574189,511038,,Current,LINZ,LINZ,1001888,Road,4112700
574189,511038,,Current,LINZ,LINZ,1001888,Road,4112700
1769434,1483390,,Current,LINZ,LINZ,1556718,Road,4733398
488281,432959,,Current,LINZ,LINZ,872744,Road,3973610
1306401,1152535,,Current,LINZ,LINZ,2253855,Road,6933077
794738,709593,,Current,LINZ,LINZ,1248962,Road,4389598
794831,709680,,Current,LINZ,LINZ,1315014,Road,4464248
808574,721146,,Current,LINZ,LINZ,1146480,Road,4274081
1263475,1116736,,Current,LINZ,LINZ,1855975,Road,5067018
905891,804107,,Current,LINZ,LINZ,1152012,Road,4280310
1306397,1152531,,Current,LINZ,LINZ,2253855,Road,6933077
919039,815362,,Current,LINZ,LINZ,1540233,Road,4714997
775703,692673,,Current,LINZ,LINZ,1341362,Road,4494406
775958,692895,,Current,LINZ,LINZ,1199072,Road,4333537
102879,97165,,Current,LINZ,LINZ,185526,Road,3210118
775193,692215,,Current,LINZ,LINZ,1397856,Road,4558033
1764140,1480083,,Current,LINZ,LINZ,1333969,Road,4485790
440806,391357,,Current,LINZ,LINZ,945768,Road,4053927
511068,454081,,Current,LINZ,LINZ,931819,Road,4038420
102919,97205,,Current,LINZ,LINZ,203128,Road,3229488
840169,749171,,Current,LINZ,LINZ,1248270,Road,4388826
1153651,1018868,,Current,LINZ,LINZ,1753102,Road,4952380
727000,648679,,Current,LINZ,LINZ,1331230,Road,4482551
1135799,1004095,,Current,LINZ,LINZ,1571823,Road,4750262
1169322,1032205,,Current,LINZ,LINZ,1652920,Road,4840512
1154131,1019322,,Current,LINZ,LINZ,1769639,Road,4970756
488273,432951,,Current,LINZ,LINZ,774603,Road,3865764
1290159,1140302,,Current,LINZ,LINZ,2343825,Road,7188699
440769,391323,,Current,LINZ,LINZ,790826,Road,3883601
749891,669615,,Current,LINZ,LINZ,1390251,Road,4549404
1153587,1643915,,Current,LINZ,LINZ,1753264,Road,4952554
1764139,1480082,,Current,LINZ,LINZ,1333969,Road,4485790
327523,290725,,Current,LINZ,LINZ,617171,Road,3691734
1154082,1019274,,Current,LINZ,LINZ,1608981,Road,4791487
844041,752335,,Current,LINZ,LINZ,1334437,Road,4486343
1489307,1296655,,Current,LINZ,LINZ,1669080,Road,4858474
1275916,1127353,,Current,LINZ,LINZ,1828734,Road,5036485
61286,58083,,Current,LINZ,LINZ,97046,Road,3111273
218993,202026,,Current,LINZ,LINZ,354153,Road,3396965
292745,260829,,Current,LINZ,LINZ,392885,Road,3441268
722118,644192,,Current,LINZ,LINZ,1187718,Road,4320393
2020887,1942228,,Current,LINZ,LINZ,2523365,Road,7728644
2020888,1942229,,Current,LINZ,LINZ,2523200,Road,7728645
2020889,1942230,,Current,LINZ,LINZ,2523379,Road,7728646
2020890,1942231,,Current,LINZ,LINZ,2523240,Road,7728647
2020891,1942234,,Current,LINZ,LINZ,2523513,Road,7728648
2020892,1942235,,Current,LINZ,LINZ,2523591,Road,7728649
2020893,1942236,,Current,LINZ,LINZ,2523207,Road,7728650
2020895,1942238,,Current,LINZ,LINZ,2523460,Road,7728652
2020898,1942241,,Current,LINZ,LINZ,2523561,Road,7728642
2020899,1942242,,Current,LINZ,LINZ,2523505,Road,7728643
2020901,1942244,,Current,LINZ,LINZ,2523454,Road,7728654
2020902,1942245,,Current,LINZ,LINZ,2523274,Road,7728655
2020903,1942246,,Current,LINZ,LINZ,2523191,Road,7728656
2026977,2015617,,Current,LINZ,LINZ,2523236,Road,7728660
2026978,2015618,,Current,LINZ,LINZ,2523492,Road,7728659
2026979,2015619,,Current,LINZ,LINZ,2523217,Road,7728658
886671,2041150,,Current,LINZ,LINZ,2532940,Road,7707552
886684,2041132,,Current,LINZ,LINZ,2532895,Road,7707551
886690,2041133,,Current,LINZ,LINZ,2532895,Road,7707551
886858,2041155,,Current,LINZ,LINZ,2532954,Road,7707555
886906,2041137,,Current,LINZ,LINZ,2532901,Road,7707554
886923,2041106,,Current,LINZ,LINZ,2532787,Road,7707553
652864,2063254,,Current,LINZ,LINZ,1355275,Road,4509957
