WKT,address_id,change_id,address_type,unit_value,address_number,address_number_suffix,address_number_high,water_route_name,water_name,suburb_locality,town_city,full_address_number,full_road_name,full_address,road_section_id,gd2000_xcoord,gd2000_ycoord,water_route_name_ascii,water_name_ascii,suburb_locality_ascii,town_city_ascii,full_road_name_ascii,full_address_ascii,shape_X,shape_Y
POINT (174.7908175 -36.96400245),1153519,1018747,Road,NULL,2,NULL,NULL,NULL,NULL,Mangere,Auckland,2,Corsair Crescent,"2 Corsair Crescent, Mangere, Auckland",162199,174.7908175,-36.96400245,NULL,NULL,Mangere,Auckland,Corsair Crescent,"2 Corsair Crescent, Mangere, Auckland",174.7908175,-36.96400245
POINT (176.1692969833 -37.6887927),794754,709609,Road,NULL,18,NULL,NULL,NULL,NULL,Tauranga,Tauranga,18,First Avenue,"18 First Avenue, Tauranga",121229,176.169297,-37.6887927,NULL,NULL,Tauranga,Tauranga,First Avenue,"18 First Avenue, Tauranga",176.169297,-37.6887927
POINT (174.745628 -36.627768),1489228,1296584,Road,NULL,5,NULL,NULL,NULL,NULL,Stanmore Bay,Whangaparaoa,5,Kathy Terrace,"5 Kathy Terrace, Stanmore Bay, Whangaparaoa",317463,174.745628,-36.627768,NULL,NULL,Stanmore Bay,Whangaparaoa,Kathy Terrace,"5 Kathy Terrace, Stanmore Bay, Whangaparaoa",174.745628,-36.627768
POINT (174.8019562333 -36.9762149167),1162925,1026692,Road,NULL,4,NULL,NULL,NULL,NULL,Mangere,Auckland,4,Pershore Place,"4 Pershore Place, Mangere, Auckland",196828,174.8019562,-36.97621492,NULL,NULL,Mangere,Auckland,Pershore Place,"4 Pershore Place, Mangere, Auckland",174.8019562,-36.97621492
POINT (174.2075057333 -39.1563251),886713,786979,Road,NULL,1,NULL,NULL,NULL,NULL,Inglewood,Inglewood,1,Matai Street,"1 Matai Street, Inglewood",150234,174.2075057,-39.1563251,NULL,NULL,Inglewood,Inglewood,Matai Street,"1 Matai Street, Inglewood",174.2075057,-39.1563251
POINT (176.7056604333 -38.4564455333),840409,749397,Road,NULL,5,NULL,NULL,NULL,NULL,Murupara,Murupara,5,Matai Street,"5 Matai Street, Murupara",125956,176.7056604,-38.45644553,NULL,NULL,Murupara,Murupara,Matai Street,"5 Matai Street, Murupara",176.7056604,-38.45644553
POINT (175.389339 -40.0831211167),509559,452709,Road,NULL,14,NULL,NULL,NULL,NULL,Marton,Marton,14,Matai Street,"14 Matai Street, Marton",70292,175.389339,-40.08312112,NULL,NULL,Marton,Marton,Matai Street,"14 Matai Street, Marton",175.389339,-40.08312112
POINT (175.0575818833 -40.8730028333),474925,421023,Road,NULL,11,NULL,NULL,NULL,NULL,Waikanae,Waikanae,11,Matai Street,"11 Matai Street, Waikanae",345580,175.0575819,-40.87300283,NULL,NULL,Waikanae,Waikanae,Matai Street,"11 Matai Street, Waikanae",175.0575819,-40.87300283
POINT (174.9821740167 -39.9383296667),440589,391166,Road,NULL,2,NULL,NULL,NULL,NULL,Castlecliff,Whanganui,2,Matai Street,"2 Matai Street, Castlecliff, Whanganui",85820,174.982174,-39.93832967,NULL,NULL,Castlecliff,Whanganui,Matai Street,"2 Matai Street, Castlecliff, Whanganui",174.982174,-39.93832967
POINT (174.9815939667 -39.9381829),440806,391357,Road,NULL,9,NULL,NULL,NULL,NULL,Castlecliff,Whanganui,9,Matai Street,"9 Matai Street, Castlecliff, Whanganui",85820,174.981594,-39.9381829,NULL,NULL,Castlecliff,Whanganui,Matai Street,"9 Matai Street, Castlecliff, Whanganui",174.981594,-39.9381829
POINT (174.7936961333 -36.9647984),1153760,1018975,Road,NULL,60,NULL,NULL,NULL,NULL,Mangere,Auckland,60,Caravelle Close,"60 Caravelle Close, Mangere, Auckland",174727,174.7936961,-36.9647984,NULL,NULL,Mangere,Auckland,Caravelle Close,"60 Caravelle Close, Mangere, Auckland",174.7936961,-36.9647984
POINT (175.5644553 -37.2387294833),722124,644198,Road,NULL,14,NULL,NULL,NULL,NULL,Turua,Ngatea,14,Matai Street,"14 Matai Street, Turua, Ngatea",130063,175.5644553,-37.23872948,NULL,NULL,Turua,Ngatea,Matai Street,"14 Matai Street, Turua, Ngatea",175.5644553,-37.23872948
POINT (174.7435285167 -36.87156765),1095598,1552158,Road,NULL,15,NULL,NULL,NULL,NULL,Kingsland,Auckland,15,First Avenue,"15 First Avenue, Kingsland, Auckland",183472,174.7435285,-36.87156765,NULL,NULL,Kingsland,Auckland,First Avenue,"15 First Avenue, Kingsland, Auckland",174.7435285,-36.87156765
POINT (176.1697992833 -37.6888726),1328565,1169125,Road,NULL,12,NULL,NULL,NULL,NULL,Tauranga,Tauranga,12,First Avenue,"12 First Avenue, Tauranga",121229,176.1697993,-37.6888726,NULL,NULL,Tauranga,Tauranga,First Avenue,"12 First Avenue, Tauranga",176.1697993,-37.6888726
