id,title_no,par_id,source
932475,NA10C/1472,5101425,LINZ
933161,NA10C/994,4751199,LINZ
932076,NA10C/1,4749279,LINZ
932077,NA10C/100,4964750,LINZ
932078,NA10C/1000,4730319,LINZ
932079,NA10C/1001,4985183,LINZ
932080,NA10C/1002,4848730,LINZ
932081,NA10C/1004,5175129,LINZ
932082,NA10C/1005,4807840,LINZ
932083,NA10C/1006,4798850,LINZ
932084,NA10C/1007,4798570,LINZ
932085,NA10C/101,4792514,LINZ
932086,NA10C/1010,5063366,LINZ
932087,NA10C/1011,4984762,LINZ
932088,NA10C/1012,4884003,LINZ
932089,NA10C/1013,5100216,LINZ
932090,NA10C/1014,4996509,LINZ
932091,NA10C/1015,4856485,LINZ
932092,NA10C/1016,4848796,LINZ
932093,NA10C/1017,5156468,LINZ
932094,NA10C/1018,5140067,LINZ
932095,NA10C/1019,5091777,LINZ
932096,NA10C/102,4953094,LINZ
932097,NA10C/1020,4995824,LINZ
932098,NA10C/1021,4883846,LINZ
932099,NA10C/1022,4852020,LINZ
932100,NA10C/1023,4900733,LINZ
932101,NA10C/1024,4959708,LINZ
932102,NA10C/1025,5166022,LINZ
932103,NA10C/1026,5094815,LINZ
932104,NA10C/1027,4826267,LINZ
932105,NA10C/1028,4907481,LINZ
932106,NA10C/1029,4833325,LINZ
932107,NA10C/103,4839584,LINZ
932108,NA10C/1030,5087882,LINZ
932109,NA10C/1031,5089332,LINZ
932110,NA10C/1032,4722002,LINZ
932111,NA10C/1034,4977089,LINZ
932112,NA10C/1035,4732276,LINZ
932113,NA10C/1036,4954410,LINZ
932114,NA10C/1037,5087982,LINZ
932115,NA10C/1038,4958702,LINZ
932116,NA10C/1039,4957923,LINZ
932117,NA10C/104,5107277,LINZ
932118,NA10C/1040,4970759,LINZ
932119,NA10C/1041,4702057,LINZ
932120,NA10C/1042,5165107,LINZ
932121,NA10C/1043,4798849,LINZ
932122,NA10C/1044,4906198,LINZ
932123,NA10C/1045,5171102,LINZ
932124,NA10C/1046,4703010,LINZ
932125,NA10C/1047,5095891,LINZ
